OID,X,Y,New_Zealand_Elevation
18727,1542816.039,5461638.567,1141.102417
18728,1543816.039,5461638.567,1188.707397
18729,1544816.039,5461638.567,1000.234924
18730,1545816.039,5461638.567,1053.63855
18731,1546816.039,5461638.567,742.127502
18732,1547816.039,5461638.567,598.721863
18733,1548816.039,5461638.567,569.926636
18734,1549816.039,5461638.567,595.120789
18735,1550816.039,5461638.567,496.899261
18736,1551816.039,5461638.567,560.304443
18737,1552816.039,5461638.567,550.49408
18738,1553816.039,5461638.567,566.663818
18739,1554816.039,5461638.567,1005.578918
18740,1555816.039,5461638.567,1148.922729
18741,1556816.039,5461638.567,932.569153
18742,1557816.039,5461638.567,926.375122
18743,1558816.039,5461638.567,820.747253
18744,1559816.039,5461638.567,523.983215
18745,1560816.039,5461638.567,895.206787
18746,1561816.039,5461638.567,1400.562744
18747,1562816.039,5461638.567,1262.470459
18748,1563816.039,5461638.567,1005.750977
18749,1564816.039,5461638.567,1266.75354
18750,1565816.039,5461638.567,963.125549
18751,1566816.039,5461638.567,1033.647461
18752,1567816.039,5461638.567,1308.03125
18753,1568816.039,5461638.567,1481.286743
18754,1569816.039,5461638.567,1205.892578
18755,1570816.039,5461638.567,1095.377319
18756,1571816.039,5461638.567,1522.27478
18757,1572816.039,5461638.567,1399.575806
18758,1573816.039,5461638.567,1299.408569
18759,1574816.039,5461638.567,1180.348267
18760,1575816.039,5461638.567,850.220337
18761,1576816.039,5461638.567,700.514343
18762,1577816.039,5461638.567,594.202454
18763,1578816.039,5461638.567,473.151917
18764,1579816.039,5461638.567,794.085938
18765,1580816.039,5461638.567,533.13501
18766,1581816.039,5461638.567,266.007385
18767,1582816.039,5461638.567,210.982773
18768,1583816.039,5461638.567,112.6381
18769,1584816.039,5461638.567,71.621399
18770,1585816.039,5461638.567,218.27063
18835,1521816.039,5462638.567,0
18836,1522816.039,5462638.567,0
18837,1523816.039,5462638.567,0
18838,1524816.039,5462638.567,28.61874
18839,1525816.039,5462638.567,115.847672
18840,1526816.039,5462638.567,215.087646
18841,1527816.039,5462638.567,299.050537
18842,1528816.039,5462638.567,563.160156
18843,1529816.039,5462638.567,697.404175
18844,1530816.039,5462638.567,491.992279
18845,1531816.039,5462638.567,337.942871
18846,1532816.039,5462638.567,356.35376
18847,1533816.039,5462638.567,441.506042
18848,1534816.039,5462638.567,634.540222
18849,1535816.039,5462638.567,945.437622
18850,1536816.039,5462638.567,1129.96521
18851,1537816.039,5462638.567,790.559875
18852,1538816.039,5462638.567,769.379089
18853,1539816.039,5462638.567,472.672974
18854,1540816.039,5462638.567,492.692871
18855,1541816.039,5462638.567,702.66626
18856,1542816.039,5462638.567,974.462036
18857,1543816.039,5462638.567,1304.949219
18858,1544816.039,5462638.567,1279.992676
18859,1545816.039,5462638.567,985.055969
18860,1546816.039,5462638.567,1042.523804
18861,1547816.039,5462638.567,773.759705
18862,1548816.039,5462638.567,641.398438
18863,1549816.039,5462638.567,735.912537
18864,1550816.039,5462638.567,918.529541
18865,1551816.039,5462638.567,949.069702
18866,1552816.039,5462638.567,544.97345
18867,1553816.039,5462638.567,495.434479
18868,1554816.039,5462638.567,950.181274
18869,1555816.039,5462638.567,787.544861
18870,1556816.039,5462638.567,763.025269
18871,1557816.039,5462638.567,551.496399
